Model,CV_Accuracy,CV_Std,Train_Accuracy,Test_Accuracy,Precision,Recall,F1_Score,Training_Time,Confusion_Matrix
Gradient Boosting,0.34785649380151884,0.03321581933173284,1.0,0.32666666666666666,0.32639281475147464,0.32666666666666666,0.32647802196683856,12.058415174484253,"[[72 68 67]
 [63 66 67]
 [79 60 58]]"
Logistic Regression,0.32849759849419097,0.007141589458791667,0.39862958484482064,0.325,0.3244451579306794,0.325,0.3246864155796224,0.07204866409301758,"[[73 61 73]
 [66 67 63]
 [72 70 55]]"
XGBoost (Optimized),0.33535000324527814,0.028372569946036486,1.0,0.31,0.30976717415545013,0.31,0.30983053613579087,1.5859363079071045,"[[65 70 72]
 [67 66 63]
 [81 61 55]]"
LightGBM (Optimized),0.3357548516907899,0.017934426335581614,1.0,0.31,0.3102419490218633,0.31,0.31006809267629876,1.7522830963134766,"[[62 66 79]
 [62 67 67]
 [76 64 57]]"
Random Forest (Optimized),0.34341533069384045,0.04145105250020595,1.0,0.29833333333333334,0.29766813764634326,0.29833333333333334,0.29772179817926836,0.7016255855560303,"[[72 64 71]
 [68 56 72]
 [83 63 51]]"
